Seq. For Order,Observation Class,Domain Prefix,Variable Name (minus domain prefix),,Variable Label,Variable Name,Controlled Terms or Format,Role,CDISC Notes (for domains) Description (for General Classes),Core
13,Findings,VS,ORRESU,,Original Units,VSORRESU,VSRESU,Variable Qualifier,"Original units in which the data were collected. The unit for VSORRES. Examples: IN, LB, BEATS/MIN.",Exp
14,Findings,VS,STRESC,,Character Result/Finding in Std Format,VSSTRESC,,Result Qualifier,"Contains the result value for all findings, copied or derived from VSORRES in a standard format or standard units. VSSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in VSSTRESN. For example, if a test has results 'NONE', 'NEG', and 'NEGATIVE' in VSORRES and these results effectively have the same meaning, they could be represented in standard format in VSSTRESC as 'NEGATIVE'.",Exp
15,Findings,VS,STRESN,,Numeric Result/Finding in Standard Units,VSSTRESN,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from VSSTRESC. VSSTRESN should store all numeric test results or findings.,Exp
16,Findings,VS,STRESU,,Standard Units,VSSTRESU,VSRESU,Variable Qualifier,Standardized unit used for VSSTRESC and VSSTRESN.,Exp
17,Findings,VS,STAT,,Completion Status,VSSTAT,ND,Record Qualifier,Used to indicate that a vital sign measurement was not done. Should be null if a result exists in VSORRES.,Perm
18,Findings,VS,REASND,,Reason Not Performed,VSREASND,,Record Qualifier,Describes why a measurement or test was not performed. Examples: BROKEN EQUIPMENT or SUBJECT REFUSED. Used in conjunction with VSSTAT when value is NOT DONE.,Perm
19,Findings,VS,LOC,,Location of Vital Signs Measurement,VSLOC,LOC,Record Qualifier,Location relevant to the collection of Vital Signs measurement. Example: LEFT ARM for blood pressure.,Perm
20,Findings,VS,BLFL,,Baseline Flag,VSBLFL,NY,Record Qualifier,Indicator used to identify a baseline value. The value should be 'Y' or null.,Exp
21,Findings,VS,DRVFL,,Derived Flag,VSDRVFL,NY,Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Records which represent the average of other records or which do not come from the CRF are examples of records that would be derived for the submission datasets. If VSDRVFL=Y, then VSORRES may be null, with VSSTRESC and (if numeric) VSSTRESN having the derived value.",Perm
22,Findings,VS,VISITNUM,,Visit Number,VISITNUM,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Exp
23,Findings,VS,VISIT,,Visit Name,VISIT,,Timing,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
24,Findings,VS,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
25,Findings,VS,DTC,,Date/Time of Measurements,VSDTC,ISO 8601,Timing,,Exp
26,Findings,VS,DY,,Study Day of Vital Signs,VSDY,,Timing,"1. Study day of vital signs measurements, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics.",Perm
27,Findings,VS,TPT,,Planned Time Point Name,VSTPT,,Timing,"1. Text Description of time when measurement should be taken. 2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See VSTPTNUM and VSTPTREF. Examples: Start, 5 min post.",Perm
28,Findings,VS,TPTNUM,,Planned Time Point Number,VSTPTNUM,,Timing,Numerical version of VSTPT to aid in sorting.,Perm
29,Findings,VS,ELTM,,Planned Elapsed Time from Time Point Ref,VSELTM,ISO 8601,Timing,"Planned Elapsed time (in ISO 8601) relative to a planned fixed reference (VSTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 Duration. Examples: '-PT15M' to represent the period of 15 minutes prior to the reference point indicated by VSTPTREF, or 'PT8H' to represent the period of 8 hours after the reference point indicated by VSTPTREF.",Perm
30,Findings,VS,TPTREF,,Time Point Reference,VSTPTREF,,Timing,"Name of the fixed reference point referred to by VSELTM, VSTPTNUM, and VSTPT. Examples: PREVIOUS DOSE, PREVIOUS MEAL.",Perm
31,Findings,VS,RFTDTC,,Date/Time of Reference Time Point,VSRFTDTC,ISO 8601,Timing,"Date/time of the reference time point, LBTPTREF.",Perm
1,Findings,DA,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,DA,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,DA,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,DA,SEQ,,Sequence Number,DASEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,DA,GRPID,,Group ID,DAGRPID,,Identifier,Used to tie together a block of related records in a single domain for a subject.,Perm
6,Findings,DA,REFID,,Reference ID,DAREFID,,Identifier,Internal or external identifier such as label number.,Perm
7,Findings,DA,SPID,,Sponsor-Defined Identifier,DASPID,,Identifier,"Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Examples: Line number on the Drug Accountability page, drug label code.",Perm
8,Findings,DA,TESTCD,,Short Name of Accountability Assessment,DATESTCD,,Topic,"Short character value for DATEST used as a column name when converting a dataset from a vertical format to a horizontal format. The short value can be up to 8 characters and cannot begin with a number or contain characters other than letters, numbers or underscores. Example: DISPAMT, RETAMT.",Req
9,Findings,DA,TEST,,Name of Accountability Assessment,DATEST,,Synonym Qualifier,"Verbatim name, corresponding to the topic variable, of the test or examination used to obtain the drug accountability assessment. The value in DATEST cannot be longer than 40 characters. Example: Dispensed Amount, Returned Amount.",Req
10,Findings,DA,CAT,,Category of Assessment,DACAT,,Grouping Qualifier,"Used to define a category of related records. Examples: STUDY MEDICATION, RESCUE MEDICATION.",Perm
11,Findings,DA,SCAT,,Subcategory of Assessment,DASCAT,,Grouping Qualifier,Used to define a further categorization level for a group of related records.,Perm
12,Findings,DA,ORRES,,Assessment Result in Original Units,DAORRES,,Result Qualifier,Result of the Drug Accountability assessment as originally received or collected.,Exp
13,Findings,DA,ORRESU,,Original Units,DAORRESU,UNIT,Variable Qualifier,Unit for DAORRES.,Perm
14,Findings,DA,STRESC,,Assessment Result in Std Format,DASTRESC,,Result Qualifier,"Contains the result value for all Drug Accountability assessments, copied or derived from DAORRES in a standard format or in standard units. DASTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in DASTRESN.",Exp
15,Findings,DA,STRESN,,Numeric Result/Finding in Standard Units,DASTRESN,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from DASTRESC. DASTRESN should store all numeric test results or findings.,Perm
16,Findings,DA,STRESU,,Assessment Standard Units,DASTRESU,UNIT,Variable Qualifier,Standardized units used for DASTRESC and DASTRESN.,Perm
17,Findings,DA,STAT,,Completion Status,DASTAT,ND,Record Qualifier,Used to indicate that a drug accountability assessment was not done. Should be null or have a value of NOT DONE.,Perm
18,Findings,DA,REASND,,Reason Not Performed,DAREASND,,Record Qualifier,Reason not done. Used in conjunction with DASTAT when value is NOT DONE.,Perm
19,Findings,DA,VISITNUM,,Visit Number,VISITNUM,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Exp
20,Findings,DA,VISIT,,Visit Name,VISIT,,Timing,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
21,Findings,DA,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
22,Findings,DA,DTC,,Date/Time of Accountability Assessment,DADTC,ISO 8601,Timing,,Exp
23,Findings,DA,DY,,Study Day of Accountability Assessment,DADY,,Timing,"1. Study day of drug accountability assessment, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics.",Perm
1,Findings,MB,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,MB,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,MB,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,MB,SEQ,,Sequence Number,MBSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,MB,GRPID,,Group ID,MBGRPID,,Identifier,"Used to tie together a block of related records in a single domain to support relationships within the domain and between domains. In MB, used to link to findings about organisms which are stored in MS.",Exp
6,Findings,MB,REFID,,Reference ID,MBREFID,,Identifier,Internal or external specimen identifier. Example: Specimen ID,Perm
7,Findings,MB,SPID,,Sponsor-Defined Identifier,MBSPID,,Identifier,"Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database. Example: ORGANISM IDENTIFIER. For organism identification, MBSPID would remain the same each time the same organism is identified in a new specimen.",Perm
8,Findings,MB,TESTCD,,Microbiology Test or Finding Short Name,MBTESTCD,,Topic,"Short name of the measurement, test, or finding described in MBTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in MBTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., '1TEST'). MBTESTCD cannot contain characters other than letters, numbers, or underscores. Examples for GRAM STAIN findings: GMNROD, GMNCOC, GMSQEPCE, GMPMNLOW. Examples for CULTURE PLATE findings: ORGANISM.",Req
9,Findings,MB,TEST,,Microbiology Test or Finding Name,MBTEST,,Synonym Qualifier,"Verbatim name of the test or examination used to obtain the measurement or finding. The value in MBTEST cannot be longer than 40 characters. Examples: GRAM NEGATIVE RODS, GRAM NEGATIVE COCCI, SQUAMOUS EPITHELIAL CELLS, PMN PER FIELD LOW, ORGANISM PRESENT",Req
10,Findings,MB,CAT,,Category for Microbiology Finding,MBCAT,,Grouping Qualifier,Used to define a category of related records.,Perm
11,Findings,MB,SCAT,,Subcategory for Microbiology Finding,MBSCAT,,Grouping Qualifier,Used to define a further categorization of MBCAT.,Perm
12,Findings,MB,ORRES,,Result or Finding in Original Units,MBORRES,,Result Qualifier,"Result of the Microbiology measurement or finding as originally received or collected. Examples for GRAM STAIN findings: +3 MODERATE, +2 FEW, <10. Examples for CULTURE PLATE (ORGANISM) findings: KLEBSIELLA PNEUMONIAE, STREPTOCOCCUS PNEUMONIAE PENICILLIN RESISTANT.",Exp
13,Findings,MB,ORRESU,,Original Units,MBORRESU,UNIT,Variable Qualifier,Original unit for MBORRES. Example: mcg/mL,Perm
14,Findings,MB,STRESC,,Character Result/Finding in Std Format,MBSTRESC,,Result Qualifier,"Contains the result value for all findings, copied or derived from MBORRES in a standard format or standard units. MBSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in MBSTRESN. For example, if a test has results '+3 MODERATE', 'MOD', and 'MODERATE' in MBORRES and these results effectively have the same meaning, they could be represented in standard format in MBSTRESC as 'MODERATE'.",Exp
15,Findings,MB,STRESN,,Numeric Result/Finding in Standard Units,MBSTRESN,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from MBSTRESC. MBSTRESN should store all numeric test results or findings.,Perm
16,Findings,MB,STRESU,,Standard Units,MBSTRESU,UNIT,Variable Qualifier,Standardized unit used for MBSTRESC and MBSTRESN.,Perm
17,Findings,MB,RESCAT,,Result Category,MBRESCAT,,Variable Qualifier,"Used to categorize the result of a finding in a standard format. Example for ORGANISM finding: INFECTING, COLONIZER, CONTAMINANT, or NORMAL FLORA.",Exp
18,Findings,MB,STAT,,Completion Status,MBSTAT,ND,Record Qualifier,"Used to indicate Microbiology was not done, or a test was not done. Should be null or have a value of NOT DONE.",Perm
19,Findings,MB,REASND,,Reason Microbiology Not Performed,MBREASND,,Record Qualifier,Reason not done. Used in conjunction with MBSTAT when value is NOT DONE. Examples: BROKEN EQUIPMENT or SUBJECT REFUSED.,Perm
20,Findings,MB,NAM,,Vendor Name,MBNAM,,Record Qualifier,Name or identifier of the laboratory or vendor who provides the test results.,Perm
21,Findings,MB,LOINC,,LOINC Code,MBLOINC,,Synonym Qualifier,1. Dictionary-derived LOINC Code for MBTEST. 2. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes,Perm
22,Findings,MB,SPEC,,Specimen Type,MBSPEC,,Record Qualifier,"Defines the type of specimen used for a measurement. Examples: SPUTUM, BLOOD, PUS.",Perm
23,Findings,MB,SPCCND,,Specimen Condition,MBSPCCND,,Record Qualifier,Free or standardized text describing the condition of the specimen. Example: CONTAMINATED.,Perm
24,Findings,MB,LOC,,Specimen Collection Location,MBLOC,LOC,Record Qualifier,"Location relevant to the collection of the measurement. Examples: LUNG, VEIN, LEFT KNEE WOUND, ARM ULCER 1, RIGHT THIGH LATERAL",Perm
25,Findings,MB,METHOD,,Method of Test or Examination,MBMETHOD,,Record Qualifier,"Method of the test or examination. Examples: GRAM STAIN, CULTURE PLATE, BROTH.",Exp
26,Findings,MB,BLFL,,Baseline Flag,MBBLFL,NY,Record Qualifier,Indicator used to identify a baseline value. The value should be 'Y' or null.,Perm
27,Findings,MB,DRVFL,,Derived Flag,MBDRVFL,NY,Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Records that represent the average of other records or some other derivation, and those that do not come from the CRF, are examples of records that would be derived for the submission datasets. If MBDRVFL=Y, then MBORRES may be null with MBSTRESC and (if numeric) MBSTRESN having the derived value.",Perm
28,Findings,MB,VISITNUM,,Visit Number,VISITNUM,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Exp
29,Findings,MB,VISIT,,Visit Name,VISIT,,Timing,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
30,Findings,MB,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
31,Findings,MB,DTC,,Date/Time of Specimen Collection,MBDTC,ISO 8601,Timing,,Exp
32,Findings,MB,DY,,Study Day of MB Specimen Collection,MBDY,,Timing,"1. Study day of the specimen collection, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics. This formula should be consistent across the submission.",Perm
33,Findings,MB,TPT,,Planned Time Point Name,MBTPT,,Timing,"1. Text Description of time when specimen should be taken. 2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See MBTPTNUM and MBTPTREF. Examples: Start, 5 min post.",Perm
34,Findings,MB,TPTNUM,,Planned Time Point Number,MBTPTNUM,,Timing,Numerical version of MBTPT to aid in sorting.,Perm
35,Findings,MB,ELTM,,Planned Elapsed Time from Time Point Ref,MBELTM,ISO 8601,Timing,"Planned elapsed time (in ISO 8601) relative to a planned fixed reference (MBTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Represented as an ISO 8601 duration. Examples: '-PT15M' to represent the period of 15 minutes prior to the reference point indicated by MBTPTREF, or 'PT8H' to represent the period of 8 hours after the reference point indicated by MBTPTREF.",Perm
36,Findings,MB,TPTREF,,Time Point Reference,MBTPTREF,,Timing,"Name of the fixed reference point referred to by MBELTM, MBTPTNUM, and MBTPT. Example: PREVIOUS DOSE.",Perm
37,Findings,MB,RFTDTC,,Date/Time of Reference Time Point,MBRFTDTC,ISO 8601,Timing,"Date/time of the reference time point, MBTPTREF.",Perm
1,Findings,MS,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,MS,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,MS,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,MS,SEQ,,Sequence Number,MSSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,MS,GRPID,,Group ID,MSGRPID,,Identifier,"Used to tie together a block of related records in a single domain to support relationships within the domain and between domains. In MS, used to link to organism in MB.",Req
6,Findings,MS,REFID,,Reference ID,MSREFID,,Identifier,Internal or external specimen identifier. Example: Specimen ID.,Perm
7,Findings,MS,SPID,,Sponsor-Defined Identifier,MSSPID,,Identifier,Sponsor-defined reference number. Perhaps pre-printed on the CRF as an explicit line identifier or defined in the sponsor's operational database.,Perm
8,Findings,MS,TESTCD,,Microbiology Organism Finding Short Name,MSTESTCD,,Topic,"Short name of the measurement, test, or finding described in MSTEST. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in MSTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g.'1TEST). MSTESTCD cannot contain characters other than letters, numbers, or underscores. Examples for GROWTH findings: EXTGROW, COLCOUNT. For SUSCEPTIBILITY findings, the test is the drug the organism was tested with, i.e. PENICLLN, AMOXCLLN.",Req
9,Findings,MS,TEST,,Organism Test or Finding Name,MSTEST,,Synonym Qualifier,"Verbatim name of the test or examination used to obtain the measurement or finding. Examples for GROWTH findings: Extent of Growth, Colony Count. Examples for SUSCEPTIBILITY findings: Amoxicillin Susceptibility, Penicillin Susceptibility",Req
10,Findings,MS,CAT,,Category for Organism Findings,MSCAT,,Grouping Qualifier,"Used to define a category of related records. Examples: GROWTH, SUSCEPTIBILITY.",Req
11,Findings,MS,SCAT,,Subcategory for Organism Findings,MSSCAT,,Grouping Qualifier,"A further categorization of a test category. Examples: CULTURE, ISOLATE",Perm
12,Findings,MS,ORRES,,Result or Finding in Original Units,MSORRES,,Result Qualifier,"Result of the Microbiology Organism measurement or finding as originally received or collected. Examples for GROWTH findings: GROWTH INTO 3RD QUADRANT. Examples for SUSCEPTIBLITY findings:.0080,.0023",Exp
13,Findings,MS,ORRESU,,Original Units,MSORRESU,UNIT,Variable Qualifier,Original units in which the data were collected. The unit for MSORRES. Example: mcg/mL,Exp
14,Findings,MS,STRESC,,Character Result/Finding in Std Format,MSSTRESC,,Result Qualifier,"Contains the result value for all findings, copied or derived from MSORRES in a standard format or standard units. MSSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in MSSTRESN. For example, if a test has results '+3 MODERATE', 'MOD', and 'MODERATE', and in MSORRES and these results effectively have the same meaning, they could be represented in standard format in MSSTRESC as 'MODERATE'.",Exp
15,Findings,MS,STRESN,,Numeric Result/Finding in Standard Units,MSSTRESN,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from MSSTRESC. MSSTRESN should store all numeric test results or findings.,Exp
16,Findings,MS,STRESU,,Standard Units,MSSTRESU,UNIT,Variable Qualifier,Standardized unit used for MSSTRESC and MSSTRESN.,Exp
17,Findings,MS,RESCAT,,Result Category,MSRESCAT,,Variable Qualifier,"Used to categorize the result of a finding in a standard format. Example for SUSCEPTIBILITY finding: SUSCEPTIBLE, INTERMEDIATE, RESISTANT, or UNKNOWN.",Exp
18,Findings,MS,STAT,,Completion Status,MSSTAT,ND,Record Qualifier,"Used to indicate a test on an organism was not done, or a test was not performed. Should be null if a result exists in MSORRES or have a value of NOT DONE.",Perm
19,Findings,MS,REASND,,Reason Test Not Done,MSREASND,,Record Qualifier,Reason not done. Describes why a measurement or test was not performed. Used in conjunction with MSSTAT when value is NOT DONE. Example: SAMPLE LOST,Perm
20,Findings,MS,NAM,,Vendor Name,MSNAM,,Record Qualifier,Name or identifier of the laboratory or vendor that provided the test results.,Perm
21,Findings,MS,LOINC,,LOINC Code,MSLOINC,,Synonym Qualifier,1. Dictionary-derived LOINC Code for MSTEST. 2. The sponsor is expected to provide the dictionary name and version used to map the terms utilizing the define.xml external codelist attributes,Perm
22,Findings,MS,METHOD,,Method of Test or Examination,MSMETHOD,,Record Qualifier,"Method of the test or examination. Example for SUSCEPTIBILITY: ETEST, BROTH DILUTION.",Exp
23,Findings,MS,BLFL,,Baseline Flag,MSBLFL,NY,Record Qualifier,Indicator used to identify a baseline value. The value should be 'Y' or null.,Perm
24,Findings,MS,DRVFL,,Derived Flag,MSDRVFL,NY,Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Records that represent the average of other records or some other derivation, and those that do not come from the CRF, are examples of records that would be derived for the submission datasets. If MSDRVFL=Y, then MSORRES may be null, with MSSTRESC and (if numeric) MSSTRESN having the derived value.",Perm
25,Findings,MS,VISITNUM,,Visit Number,VISITNUM,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Exp
26,Findings,MS,VISIT,,Visit Name,VISIT,,Timing,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
27,Findings,MS,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
28,Findings,MS,DTC,,Date/Time of Test,MSDTC,ISO 8601,Timing,,Perm
29,Findings,MS,DY,,Study Day of Test,MSDY,,Timing,"1. Study day of the test, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics. This formula should be consistent across the submission.",Perm
30,Findings,MS,TPT,,Planned Time Point Name,MSTPT,,Timing,"1. Text Description of time when test should be done.  2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See MSTPTNUM and MSTPTREF. Examples: Start, 5 min post.",Perm
31,Findings,MS,TPTNUM,,Planned Time Point Number,MSTPTNUM,,Timing,Numerical version of MSTPT to aid in sorting.,Perm
32,Findings,MS,ELTM,,Planned Elapsed Time from Time Point Ref,MSELTM,ISO 8601,Timing,"Elapsed time (in ISO 8601) relative to a planned fixed reference (MSTPTREF). This variable is useful where there are repetitive measures. Not a clock time or a date time variable. Examples: '-PT15M' to represent the period of 15 minutes prior to the reference point indicated by MSTPTREF, or 'P8H' to represent the period of 8 hours after the reference point indicated by MSTPTREF.",Perm
33,Findings,MS,TPTREF,,Time Point Reference,MSTPTREF,,Timing,"Name of the fixed reference point referred to by MSELTM, MSTPTNUM, and MSTPT. Example: PREVIOUS DOSE.",Perm
1,Findings,PC,STUDYID,,Study Identifier,STUDYID,,Identifier,Unique identifier for a study.,Req
2,Findings,PC,DOMAIN,,Domain Abbreviation,DOMAIN,,Identifier,Two-character abbreviation for the domain.,Req
3,Findings,PC,USUBJID,,Unique Subject Identifier,USUBJID,,Identifier,Identifier used to uniquely identify a subject across all studies for all applications or submissions involving the product.,Req
4,Findings,PC,SEQ,,Sequence Number,PCSEQ,,Identifier,Sequence Number given to ensure uniqueness of subject records within a domain. May be any valid number.,Req
5,Findings,PC,GRPID,,Group ID,PCGRPID,,Identifier,Used to tie together a block of related records in a single domain to support relationships within the domain and between domains.,Perm
6,Findings,PC,REFID,,Reference ID,PCREFID,,Identifier,Internal or external specimen identifier. Example: Specimen ID.,Perm
7,Findings,PC,SPID,,Sponsor-Defined Identifier,PCSPID,,Identifier,Sponsor-defined reference number.,Perm
8,Findings,PC,TESTCD,,Pharmacokinetic Test Short Name,PCTESTCD,,Topic,"Short name of the analyte or specimen characteristic. It can be used as a column name when converting a dataset from a vertical to a horizontal format. The value in PCTESTCD cannot be longer than 8 characters, nor can it start with a number (e.g., '1TEST'). PCTESTCD cannot contain characters other than letters, numbers, or underscores. Examples: ASA, VOL, SPG.",Req
9,Findings,PC,TEST,,Pharmacokinetic Test Name,PCTEST,,Synonym Qualifier,"Name of the analyte or specimen characteristic. Note any test normally performed by a clinical laboratory is considered a lab test. The value in PCTEST cannot be longer than 40 characters. Examples: Acetylsalicylic Acid, Volume, Specific Gravity.",Req
10,Findings,PC,CAT,,Test Category,PCCAT,,Grouping Qualifier,"Used to define a category of related records. Examples: ANALYTE, SPECIMEN PROPERTY.",Perm
11,Findings,PC,SCAT,,Test Subcategory,PCSCAT,,Grouping Qualifier,A further categorization of a test category.,Perm
12,Findings,PC,ORRES,,Result or Finding in Original Units,PCORRES,,Result Qualifier,Result of the measurement or finding as originally received or collected.,Exp
13,Findings,PC,ORRESU,,Original Units,PCORRESU,UNIT,Variable Qualifier,Original units in which the data were collected. The unit for PCORRES. Example: mg/L.,Exp
14,Findings,PC,STRESC,,Character Result/Finding in Std Format,PCSTRESC,,Result Qualifier,"Contains the result value for all findings, copied or derived from PCORRES in a standard format or standard units. PCSTRESC should store all results or findings in character format; if results are numeric, they should also be stored in numeric format in PCSTRESN. For example, if a test has results 'NONE', 'NEG', and 'NEGATIVE' in PCORRES and these results effectively have the same meaning, they could be represented in standard format in PCSTRESC as 'NEGATIVE'. For other examples, see general assumptions.",Exp
15,Findings,PC,STRESN,,Numeric Result/Finding in Standard Units,PCSTRESN,,Result Qualifier,Used for continuous or numeric results or findings in standard format; copied in numeric format from PCSTRESC. PCSTRESN should store all numeric test results or findings.,Exp
16,Findings,PC,STRESU,,Standard Units,PCSTRESU,UNIT,Variable Qualifier,Standardized unit used for PCSTRESC and PCSTRESN.,Exp
17,Findings,PC,STAT,,Completion Status,PCSTAT,ND,Record Qualifier,Used to indicate a result was not obtained. Should be null if a result exists in PCORRES.,Perm
18,Findings,PC,REASND,,Reason Test Not Done,PCREASND,,Record Qualifier,Describes why a result was not obtained such as SPECIMEN LOST. Used in conjunction with PCSTAT when value is NOT DONE.,Perm
19,Findings,PC,NAM,,Vendor Name,PCNAM,,Record Qualifier,Name or identifier of the laboratory or vendor who provides the test results.,Exp
20,Findings,PC,SPEC,,Specimen Material Type,PCSPEC,,Record Qualifier,"Defines the type of specimen used for a measurement. Examples: SERUM, PLASMA, URINE.",Req
21,Findings,PC,SPCCND,,Specimen Condition,PCSPCCND,,Record Qualifier,"Free or standardized text describing the condition of the specimen e.g. HEMOLYZED, ICTERIC, LIPEMIC etc.",Perm
22,Findings,PC,METHOD,,Method of Test or Examination,PCMETHOD,,Record Qualifier,"Method of the test or examination. Examples include HPLC/MS, ELISA. This should contain sufficient information and granularity to allow differentiation of various methods that might have been used within a study.",Perm
23,Findings,PC,FAST,,Fasting Status,PCFAST,NY,Record Qualifier,Indicator used to identify fasting status.,Perm
24,Findings,PC,DRVFL,,Derived Flag,PCDRVFL,NY,Record Qualifier,"Used to indicate a derived record. The value should be Y or null. Records that represent the average of other records, which do not come from the CRF, are examples of records that would be derived for the submission datasets. If PCDRVFL=Y, then PCORRES should be null with PCSTRESC, and (if numeric) PCSTRESN having the derived value.",Perm
25,Findings,PC,LLOQ,,Lower Limit of Quantitation,PCLLOQ,,Variable Qualifier,Indicates the lower limit of quantitation for an assay. Units should be those used in PCSTRESU.,Exp
26,Findings,PC,VISITNUM,,Visit Number,VISITNUM,,Timing,"Clinical encounter number. Numeric version of VISIT, used for sorting.",Exp
27,Findings,PC,VISIT,,Visit Name,VISIT,,Timing,1. Protocol-defined description of clinical encounter. 2. May be used in addition to VISITNUM and/or VISITDY.,Perm
28,Findings,PC,VISITDY,,Planned Study Day of Visit,VISITDY,,Timing,Planned study day of the visit based upon RFSTDTC in Demographics.,Perm
29,Findings,PC,DTC,,Date/Time of Specimen Collection,PCDTC,ISO 8601,Timing,"Date/time of specimen collection represented in ISO 8601 character format. If there is no end time, then this will be the collection time.",Exp
30,Findings,PC,ENDTC,,End Date/Time of Specimen Collection,PCENDTC,ISO 8601,Timing,"End date/time of specimen collection represented in ISO 8601 character format. If there is no end time, the collection time should be stored in PCDTC, and PCENDTC should be null.",Perm
31,Findings,PC,DY,,Actual Study Day of Specimen Collection,PCDY,,Timing,"1. Study day of specimen collection, measured as integer days. 2. Algorithm for calculations must be relative to the sponsor-defined RFSTDTC variable in Demographics.",Perm
32,Findings,PC,TPT,,Planned Time Point Name,PCTPT,,Timing,"1. Text Description of time when specimen should be taken. 2. This may be represented as an elapsed time relative to a fixed reference point, such as time of last dose. See PCTPTNUM and PCTPTREF. Examples: Start, 5 min post.",Perm
33,Findings,PC,TPTNUM,,Planned Time Point Number,PCTPTNUM,,Timing,Numerical version of PCTPT to aid in sorting.,Perm
